index size: 8
k: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
l: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
z: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
in: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
on: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
zp: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
jva: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
tst: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
zqp: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
java: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
goto: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
hzwe: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
langg: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
retrun: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
Stirng: 1.00 (0 / 0), 1.00 (0 / 0), 1.00 (0 / 0). total: 1.00 (0 / 0).
